Wavelength[nm],T% at AOI 0 deg
939.5,0.000721696
939,0.000203739
938.5,-7.74E-05
938,0.000671459
937.5,0.000483515
937,0.000967675
936.5,-0.000103063
936,-0.000507443
935.5,0.000654425
935,0.000972458
934.5,0.001126431
934,0.000689335
933.5,0.000324266
933,0.000891072
932.5,-0.000338156
932,-0.00040513
931.5,0.00045491
931,-0.00065573
930.5,-0.000103381
930,0.000439851
929.5,0.001133919
929,-0.000717664
928.5,-0.000302541
928,0.0009872
927.5,-0.00030448
927,-0.000156467
926.5,-9.68E-05
926,-0.000145465
925.5,-0.000151978
925,0.001009192
924.5,0.001329687
924,0.001324959
923.5,0.000531656
923,0.000372634
922.5,0.000847461
922,9.89E-05
921.5,0.002126934
921,0.00094401
920.5,0.001515378
920,0.000162577
919.5,0.000145067
919,0.001300238
918.5,0.001317364
918,0.000853018
917.5,0.000380918
917,0.002111275
916.5,-0.001246858
916,0.000729594
915.5,7.96E-05
915,-0.000796383
914.5,0.001376178
914,0.000253389
913.5,0.000246124
913,0.000531896
912.5,0.001249392
912,-0.00054915
911.5,5.70E-05
911,0.001345753
910.5,0.001030413
910,0.000409908
909.5,0.000617858
909,0.000727284
908.5,0.000254669
908,0.001092579
907.5,-0.000351
907,0.001956366
906.5,-0.000159419
906,-0.000235132
905.5,-0.000489695
905,0.000518871
904.5,0.001119366
904,0.000553252
903.5,0.000692187
903,0.0007164
902.5,0.000473126
902,-0.00012934
901.5,-0.000472997
901,0.00103233
900.5,-5.82E-05
900,-5.06E-05
899.5,0.000705961
899,0.001452135
898.5,0.001123484
898,-0.00040575
897.5,8.28E-05
897,0.000604002
896.5,0.001418285
896,0.001808877
895.5,0.000353131
895,0.000988799
894.5,0.000488007
894,0.000490383
893.5,-0.000399083
893,0.001030941
892.5,-0.000684105
892,-0.000316676
891.5,-0.000541097
891,-0.000269097
890.5,0.000965863
890,-0.000356791
889.5,0.000197104
889,0.000326518
888.5,0.000850225
888,0.000108792
887.5,-0.00035748
887,-0.00085389
886.5,0.00077044
886,0.000568499
885.5,-0.000217639
885,-0.000704461
884.5,0.000610398
884,0.001973468
883.5,0.000722571
883,0.000874975
882.5,0.000882039
882,0.000351913
881.5,-0.00052972
881,0.001436794
880.5,0.000242952
880,-0.000892399
879.5,0.001348218
879,0.000416439
878.5,0.001575098
878,0.000332129
877.5,4.10E-05
877,-0.001420429
876.5,-0.000177612
876,0.000854211
875.5,-0.000348482
875,0.000414676
874.5,0.000409769
874,1.25E-06
873.5,-0.00059913
873,0.00075345
872.5,0.001150595
872,0.000994781
871.5,0.000396395
871,0.00110868
870.5,0.000399809
870,0.000478987
869.5,0.000400179
869,0.000226588
868.5,0.001598839
868,0.000800134
867.5,0.000296816
867,0.001918081
866.5,9.04E-05
866,-0.000268597
865.5,-0.000310108
865,-0.000111747
864.5,-0.000356654
864,0.000588182
863.5,-0.000408694
863,-8.87E-05
862.5,-0.000204171
862,0.001105181
861.5,0.001491296
861,-0.000851567
860.5,-0.000275331
860,-0.000181138
859.5,0.000507857
859,0.000656688
858.5,0.001752815
858,0.000959664
857.5,0.001107047
857,0.000417249
856.5,0.000694374
856,0.000750148
855.5,0.001562264
855,0.002159052
854.5,0.004883927
854,0.005745235
853.5,0.00585805
853,0.005308684
852.5,0.004350362
852,0.004257313
851.5,0.003818614
851,0.002953416
850.5,0.001877147
850,0.000994952
849.5,0.001195763
849,0.001074762
848.5,0.001066155
848,0.000705044
847.5,0.000740522
847,0.000776915
846.5,0.000525235
846,0.000556506
845.5,0.00049704
845,0.00041716
844.5,0.00039994
844,0.000300049
843.5,0.000289116
843,0.000344744
842.5,0.000431108
842,0.000353138
841.5,0.000126075
841,0.000272364
840.5,0.000220701
840,0.000190722
839.5,0.000489355
839,-0.000178202
838.5,-0.000106365
838,-0.000289371
837.5,5.40E-06
837,-2.53E-05
836.5,0.00019664
836,9.22E-06
835.5,1.14E-05
835,0.000251605
834.5,-0.000109669
834,0.000122235
833.5,0.00015271
833,0.000717266
832.5,0.000262479
832,0.000195107
831.5,0.000174435
831,9.94E-05
830.5,0.00020685
830,0.000165545
829.5,0.00032846
829,0.000169573
828.5,5.13E-05
828,0.00033108
827.5,0.000285348
827,-1.12E-05
826.5,0.000148741
826,0.000108899
825.5,4.64E-05
825,4.82E-05
824.5,3.58E-05
824,8.93E-05
823.5,0.000115225
823,-7.92E-06
822.5,-0.000113961
822,0.000153219
821.5,0.000119852
821,0.000142993
820.5,-0.000228065
820,-6.19E-06
819.5,0.000174336
819,-0.000107989
818.5,-2.87E-05
818,-6.69E-05
817.5,6.19E-05
817,6.18E-05
816.5,-1.73E-05
816,4.08E-05
815.5,-9.33E-05
815,-2.53E-05
814.5,-2.43E-05
814,-0.000194295
813.5,4.41E-06
813,7.12E-05
812.5,-0.000168869
812,-4.14E-05
811.5,1.69E-05
811,-0.000134769
810.5,8.64E-05
810,-7.63E-06
809.5,0.000145382
809,5.79E-05
808.5,0.00010203
808,-1.16E-05
807.5,-0.000106794
807,-5.03E-05
806.5,-8.33E-05
806,-4.74E-05
805.5,1.46E-05
805,2.20E-05
804.5,-4.17E-05
804,-2.50E-05
803.5,-1.77E-05
803,-0.000102772
802.5,-0.000199439
802,-0.000187337
801.5,-0.000144036
801,-0.000141037
800.5,-0.000131346
800,6.04E-05
799.5,2.92E-05
799,3.83E-05
798.5,0.000283501
798,0.00010548
797.5,-7.90E-05
797,6.63E-05
796.5,1.30E-05
796,3.38E-05
795.5,-5.50E-05
795,0.000175586
794.5,0.000132819
794,3.12E-06
793.5,-9.30E-05
793,-1.75E-06
792.5,-0.00027692
792,9.22E-05
791.5,0.000199836
791,-0.000327482
790.5,-0.000172233
790,-0.000177744
789.5,0.000203655
789,-6.20E-05
788.5,0.00015829
788,-1.57E-05
787.5,-0.000109689
787,0.00010626
786.5,0.000383983
786,-0.000397832
785.5,1.32E-05
785,0.000183963
784.5,1.03E-05
784,-0.000104011
783.5,6.78E-06
783,5.72E-05
782.5,0.00017792
782,4.55E-05
781.5,3.71E-05
781,-8.61E-05
780.5,1.39E-05
780,-8.20E-06
779.5,-5.67E-05
779,4.59E-05
778.5,1.51E-05
778,3.60E-05
777.5,2.15E-05
777,0.000164383
776.5,-0.000460398
776,0.000139109
775.5,-6.85E-05
775,5.37E-05
774.5,-1.74E-05
774,4.41E-05
773.5,0.000148991
773,-1.08E-05
772.5,0.000225033
772,-0.000124664
771.5,-1.67E-05
771,5.88E-05
770.5,4.32E-05
770,0.000178047
769.5,-5.07E-05
769,3.46E-05
768.5,0.000106421
768,-5.22E-05
767.5,3.42E-05
767,0.000140403
766.5,-7.98E-05
766,-0.000170856
765.5,2.28E-05
765,-0.000177832
764.5,-1.21E-05
764,-6.26E-05
763.5,4.85E-05
763,-0.000149663
762.5,2.96E-05
762,-1.35E-05
761.5,-8.68E-05
761,-2.57E-05
760.5,0.000114348
760,-0.000133738
759.5,-0.000107536
759,-7.30E-05
758.5,4.87E-05
758,-2.08E-05
757.5,2.38E-06
757,-6.70E-05
756.5,-9.35E-05
756,-0.000163486
755.5,0.000221402
755,1.68E-05
754.5,-0.000179477
754,0.000133608
753.5,-0.000115208
753,-0.000108403
752.5,0.000101132
752,-2.47E-05
751.5,-9.27E-05
751,5.50E-05
750.5,-6.47E-05
750,-0.00010726
749.5,-0.000169018
749,0.000100462
748.5,-0.000205211
748,2.30E-05
747.5,2.38E-05
747,-4.07E-05
746.5,-0.000178334
746,8.52E-05
745.5,-9.73E-05
745,2.81E-05
744.5,-5.52E-05
744,3.56E-05
743.5,2.89E-05
743,-3.05E-05
742.5,1.78E-05
742,7.81E-05
741.5,-1.65E-06
741,2.48E-05
740.5,2.15E-05
740,1.85E-05
739.5,4.18E-05
739,-0.000229448
738.5,1.80E-05
738,-3.16E-05
737.5,-8.73E-05
737,-3.21E-05
736.5,-0.000222777
736,3.08E-05
735.5,4.47E-05
735,-2.67E-05
734.5,-2.15E-05
734,-2.85E-05
733.5,-0.000238837
733,-0.000125528
732.5,-0.000100995
732,0.000193404
731.5,-0.00021019
731,4.27E-05
730.5,2.10E-05
730,-0.000136735
729.5,1.95E-06
729,3.36E-05
728.5,-3.42E-05
728,0.000248351
727.5,-0.000102982
727,-1.49E-06
726.5,2.98E-05
726,-0.00019393
725.5,-7.78E-05
725,-6.92E-06
724.5,-7.88E-05
724,-0.000104282
723.5,4.70E-05
723,-1.59E-08
722.5,-0.000124523
722,-4.35E-05
721.5,4.35E-05
721,-8.36E-05
720.5,0.000137346
720,-0.000210444
719.5,-0.000160015
719,-0.000108775
718.5,-2.30E-05
718,0.000115211
717.5,3.86E-05
717,8.06E-05
716.5,0.000140433
716,2.97E-05
715.5,-4.21E-05
715,3.54E-05
714.5,4.18E-05
714,3.62E-05
713.5,2.16E-05
713,-0.000160044
712.5,0.000266812
712,-0.000258694
711.5,-4.57E-05
711,7.70E-05
710.5,-0.000156287
710,-3.16E-05
709.5,-4.84E-05
709,2.12E-05
708.5,-1.32E-05
708,-0.000133979
707.5,-0.000164387
707,-6.22E-05
706.5,2.83E-05
706,-3.79E-05
705.5,0.000140525
705,-0.000361258
704.5,2.34E-06
704,-4.50E-05
703.5,-3.23E-05
703,-6.91E-05
702.5,-3.09E-05
702,0.000276031
701.5,-9.22E-06
701,-1.05E-05
700.5,2.16E-06
700,6.40E-05
699.5,-6.98E-05
699,3.28E-05
698.5,0.000227557
698,-0.00014639
697.5,4.80E-05
697,1.00E-04
696.5,-9.31E-05
696,-3.21E-05
695.5,0.000138663
695,0.000154716
694.5,-4.96E-05
694,-3.61E-06
693.5,-0.000188898
693,-2.18E-05
692.5,-0.000177351
692,0.000113847
691.5,8.28E-05
691,7.94E-05
690.5,0.000200991
690,-2.16E-05
689.5,-3.13E-05
689,8.55E-05
688.5,0.000145071
688,6.92E-05
687.5,0.000130056
687,9.59E-06
686.5,0.000139179
686,0.000254583
685.5,-4.27E-05
685,8.50E-05
684.5,-1.33E-05
684,0.000215159
683.5,0.000147317
683,1.13E-05
682.5,0.000218836
682,8.84E-05
681.5,-5.71E-06
681,4.55E-05
680.5,1.92E-05
680,0.000385795
679.5,3.52E-05
679,0.000143151
678.5,0.000127847
678,0.000204828
677.5,0.000312729
677,0.000281071
676.5,-4.82E-07
676,0.000152854
675.5,0.000289684
675,0.000213828
674.5,0.000364963
674,0.000263026
673.5,0.000386021
673,0.000408093
672.5,0.000237846
672,0.000423348
671.5,0.000270431
671,0.000484153
670.5,0.000440251
670,0.000393085
669.5,0.000470306
669,0.000702831
668.5,0.000534649
668,0.00061219
667.5,0.000522961
667,0.000586594
666.5,0.000662056
666,0.000758998
665.5,0.000837389
665,0.000734477
664.5,0.000747879
664,0.000889386
663.5,0.000861658
663,0.000960812
662.5,0.001021901
662,0.001185186
661.5,0.001194632
661,0.001119407
660.5,0.00145442
660,0.001511816
659.5,0.001629828
659,0.001583078
658.5,0.001684524
658,0.001917884
657.5,0.002083352
657,0.002144127
656.5,0.002394332
656,0.002259062
655.5,0.002506581
655,0.002596318
654.5,0.002940143
654,0.00300787
653.5,0.003272402
653,0.003506102
652.5,0.003948794
652,0.003954388
651.5,0.004341963
651,0.004696204
650.5,0.004926682
650,0.005124264
649.5,0.005551342
649,0.006181765
648.5,0.006350156
648,0.006985693
647.5,0.007449635
647,0.007896925
646.5,0.008461387
646,0.009017455
645.5,0.009728403
645,0.010637014
644.5,0.011370433
644,0.01227612
643.5,0.013344171
643,0.014253962
642.5,0.015530619
642,0.016843623
641.5,0.018092308
641,0.019686509
640.5,0.021095829
640,0.023245128
639.5,0.025334587
639,0.02749812
638.5,0.030013267
638,0.032873265
637.5,0.035866924
637,0.039344143
636.5,0.043290894
636,0.047602523
635.5,0.052551117
635,0.057595205
634.5,0.064069323
634,0.070835814
633.5,0.078605093
633,0.087683871
632.5,0.097755864
632,0.108945988
631.5,0.122278057
631,0.137179747
630.5,0.154636458
630,0.174784303
629.5,0.197569609
629,0.224279732
628.5,0.255108208
628,0.291853011
627.5,0.333839715
627,0.382811368
626.5,0.442943722
626,0.511079073
625.5,0.592992187
625,0.69197315
624.5,0.808533192
624,0.950531542
623.5,1.120608926
623,1.328184366
622.5,1.581865311
622,1.887385964
621.5,2.273619175
621,2.743212223
620.5,3.321336508
620,4.060098171
619.5,4.968556881
619,6.117451668
618.5,7.565433502
618,9.380516052
617.5,11.698102
617,14.5651083
616.5,18.18665123
616,22.61822128
615.5,27.94169807
615,34.42448807
614.5,41.6400032
614,49.61341476
613.5,58.1705513
613,66.57505035
612.5,74.5283432
612,81.58850861
611.5,87.35904694
611,91.80062866
610.5,94.83540344
610,96.72637939
609.5,97.6566391
609,97.89851379
608.5,97.75513458
608,97.38247681
607.5,96.91889191
607,96.49636841
606.5,96.15937805
606,95.92082214
605.5,95.81731415
605,95.79379272
604.5,95.89622498
604,96.07318878
603.5,96.31417084
603,96.56403351
602.5,96.85292053
602,97.14362335
601.5,97.41534424
601,97.67178345
600.5,97.89094543
600,98.07014465
599.5,98.22267151
599,98.32569885
598.5,98.39470673
598,98.45265961
597.5,98.46252441
597,98.47585297
596.5,98.45561218
596,98.43416595
595.5,98.40775299
595,98.3874054
594.5,98.35823822
594,98.34185028
593.5,98.33192444
593,98.32086945
592.5,98.34623718
592,98.35383606
591.5,98.38208008
591,98.40675354
590.5,98.44754028
590,98.49124908
589.5,98.54200745
589,98.59815979
588.5,98.63353729
588,98.68299103
587.5,98.72280121
587,98.76706696
586.5,98.80296326
586,98.82666016
585.5,98.85902405
585,98.87557983
584.5,98.89941406
584,98.90470123
583.5,98.9262085
583,98.91745758
582.5,98.91551971
582,98.91960907
581.5,98.90109253
581,98.90527344
580.5,98.90962982
580,98.88500214
579.5,98.88149261
579,98.8693161
578.5,98.84383392
578,98.84333038
577.5,98.86342621
577,98.83275604
576.5,98.80757904
576,98.81229401
575.5,98.80754089
575,98.81433105
574.5,98.80484772
574,98.81417847
573.5,98.81427002
573,98.82395935
572.5,98.84333801
572,98.86915588
571.5,98.87739563
571,98.89887238
570.5,98.90653229
570,98.92868042
569.5,98.96846771
569,98.9837265
568.5,99.00688171
568,99.02915192
567.5,99.06139374
567,99.07052612
566.5,99.09472656
566,99.1030426
565.5,99.11573792
565,99.10510254
564.5,99.11598969
564,99.12565613
563.5,99.10464478
563,99.08547211
562.5,99.08197784
562,99.05563354
561.5,99.03078461
561,99.0057373
560.5,98.98418427
560,98.96292114
559.5,98.93065643
559,98.90163422
558.5,98.89163208
558,98.87469482
557.5,98.86605835
557,98.86004639
556.5,98.84848785
556,98.85489655
555.5,98.87585449
555,98.88170624
554.5,98.89124298
554,98.91629791
553.5,98.94298553
553,98.95381927
552.5,98.97756195
552,99.00080872
551.5,99.02709961
551,99.06819153
550.5,99.06988525
550,99.0927124
549.5,99.09906006
549,99.10157776
548.5,99.11559296
548,99.13045502
547.5,99.14021301
547,99.12498474
546.5,99.13004303
546,99.13261414
545.5,99.10894775
545,99.10431671
544.5,99.0931778
544,99.0669632
543.5,99.03948975
543,99.01947021
542.5,98.95531464
